Order, Warehouse, Product, Quantity
1,3,2,2
1,4,2,3
2,4,3,4
2,4,4,1
3,2,5,2
3,3,2,3
3,3,3,2
4,2,1,1
4,3,1,1
4,8,3,2
5,1,3,1
5,1,5,2
6,8,5,3
7,4,2,2
7,6,2,3
8,5,5,1
8,7,2,1
9,1,1,4
9,1,3,1
9,1,5,2
10,1,3,3
10,2,2,1
10,2,3,5
10,2,4,1
11,7,2,4
12,4,1,3
12,4,5,3
13,5,5,4
14,4,4,2
14,5,1,2
14,5,4,2
14,6,1,1
15,6,3,1
15,7,5,3
16,3,2,1
16,4,4,4
17,3,5,5
17,5,5,1
17,6,1,1
17,6,3,4
17,6,4,3
18,3,1,3
18,3,5,1
19,6,4,3
20,7,1,1
20,7,3,1
21,8,1,2
21,8,4,1
22,4,3,5
22,8,3,1
23,8,1,4
23,8,3,1
23,8,5,4
24,5,1,2
24,5,2,2
24,7,2,3
25,6,2,2
25,6,3,3
25,6,5,2
26,7,1,3
26,7,4,5
26,7,5,3
27,2,1,2
27,2,5,2
27,4,1,2
27,4,5,1
28,2,3,5
29,8,4,4
29,8,5,1
30,2,1,3
30,2,2,4
31,1,1,1
32,3,1,2
32,3,3,2
32,5,3,1
33,1,4,6
33,8,3,3
34,5,5,1
34,6,2,3
34,6,3,1
34,6,5,3
35,3,1,3
36,5,1,5
36,5,2,4
36,5,4,4
37,3,3,2
37,3,5,4
38,2,4,4
38,5,2,4
38,5,4,1
39,1,2,3
39,1,5,3
40,6,1,3
40,8,2,2
41,4,1,3
41,4,3,1
41,4,5,1
41,7,1,1
41,7,3,6
41,7,5,3
42,4,4,2
43,2,4,4
43,2,5,3
43,5,3,1
43,6,2,2
43,6,3,1
44,1,2,2
44,1,5,2
44,3,2,2
44,5,3,4
45,8,1,1
45,8,2,4
45,8,3,1
45,8,4,1